Filename,IoU,GIoU,CIoU
000000516143_combined_mask.png,0.8428,0.8751,0.8426
000000000139_combined_mask.png,0.0973,0.0989,0.0566
000000434204_combined_mask.png,0.4883,0.9558,0.4882
000000466986_combined_mask.png,0.9258,0.9755,0.9258
000000081988_combined_mask.png,0.5149,0.4549,0.4870
000000213033_combined_mask.png,0.8853,0.9316,0.8848
000000385029_combined_mask.png,0.9448,0.9799,0.9448
000000450686_combined_mask.png,0.9382,0.8194,0.9344
000000442463_combined_mask.png,0.8915,0.9452,0.8915
000000188439_combined_mask.png,0.0247,-0.0935,-0.0970
000000401446_combined_mask.png,0.8103,0.9007,0.8101
000000016451_combined_mask.png,0.1162,0.1345,0.0058
000000458755_combined_mask.png,0.8583,0.7916,0.8555
000000434247_combined_mask.png,0.3915,0.1446,0.2450
000000311392_combined_mask.png,0.7542,0.4436,0.7249
000000475191_combined_mask.png,0.4535,0.8463,0.4521
000000327701_combined_mask.png,0.2396,0.6824,0.2364
000000311394_combined_mask.png,0.8655,0.9610,0.8655
000000180383_combined_mask.png,0.5534,0.3540,0.5441
000000434230_combined_mask.png,0.5562,0.5262,0.5555
000000417911_combined_mask.png,0.6989,0.9186,0.6985
000000221291_combined_mask.png,0.3225,0.5852,0.3040
000000032817_combined_mask.png,0.7404,0.9507,0.7403
000000516173_combined_mask.png,0.8844,0.9578,0.8844
000000442456_combined_mask.png,0.6219,0.8739,0.6215
000000532481_combined_mask.png,0.7056,0.7489,0.7042
000000532493_combined_mask.png,0.6151,0.7895,0.6141
000000008211_combined_mask.png,0.5168,0.9389,0.5166
000000213086_combined_mask.png,0.9249,0.9589,0.9248
000000032887_combined_mask.png,0.7433,0.9539,0.7433
000000032861_combined_mask.png,0.9554,0.9825,0.9554
000000122962_combined_mask.png,0.0802,0.4235,0.0508
000000213035_combined_mask.png,0.2886,0.4428,0.2828
000000270474_combined_mask.png,0.9193,0.9365,0.9193
000000188465_combined_mask.png,0.0048,0.0149,-0.0228
000000507975_combined_mask.png,0.4225,0.4222,0.3749
000000032901_combined_mask.png,0.7225,0.9563,0.7223
000000376900_combined_mask.png,0.4510,0.7178,0.4508
000000532530_combined_mask.png,0.2938,0.7601,0.2890
000000393226_combined_mask.png,0.8125,0.1584,0.5428
000000049259_combined_mask.png,0.8589,0.9634,0.8588

Summary Statistics:
Average IoU: 0.6033
Average GIoU: 0.6874
Average CIoU: 0.5812
